ai_app_id,name,frs_row,frs_match,short_definition
1,Abstract strategy games,abstract strategy games,exact,"An AI system that plays perfect-information board games such as chess and Go: searching over discrete states, planning many moves ahead under fixed rules, and evaluating positions. The measured object is the trained agent together with its search procedure."
2,Real-time video games,real-time video games,exact,"An AI system that plays video games in real time from perceptual input: tracking a dynamic environment, acting under time pressure, and coordinating several concurrent objectives. The measured object is the trained agent acting in the game environment."
3,Image recognition,image recognition,exact,"An AI system that assigns labels to the objects present in a still image, detecting and categorising visual content at fine grain and under variation in pose, lighting and occlusion. The measured object is the trained vision model."
4,Visual question answering,visual question answering,exact,"An AI system that answers natural-language questions about the content of an image, combining visual perception with language understanding and requiring inference that neither modality supplies alone. The measured object is the trained multimodal model."
5,Generating images,generating images,exact,"An AI system that synthesises a novel image from a description or a reference, composing scene, style and detail so that the result is both faithful to the prompt and visually coherent. The measured object is the trained generative model."
6,Reading comprehension,reading comprehension,exact,"An AI system that answers questions about a supplied passage of text by locating and combining the relevant evidence within it, rather than by recalling facts learned in training. The measured object is the trained model reading the supplied passage."
7,Language modeling,language modeling,exact,"An AI system that predicts and produces fluent text, following instructions and sustaining coherence across a passage. The measured object is the trained language model itself, acting without external tools."
8,Translation,translation,exact,"An AI system that renders text from one natural language into another, preserving meaning, register and idiom. The measured object is the trained translation model."
9,Speech recognition,speech recognition,exact,"An AI system that transcribes recorded speech into text under accent, background noise and conversational overlap. The measured object is the trained acoustic and language model pipeline."
10,Agentic task execution,"solving real-world technical problems",approximate,"An AI system that plans and carries out multi-step tasks autonomously in a digital environment: browsing, using tools and APIs, operating software, writing and running code, and recovering from its own errors over a long horizon. The measured object is the model together with its scaffolding, since that is what a firm deploys."
11,Mathematical and scientific reasoning,"solving constrained, well-specified technical problems",close,"An AI system that solves problems requiring multi-step formal reasoning: competition and research mathematics, proof construction, and graduate-level scientific questions where the answer cannot be retrieved and must be derived."
12,Software engineering,generating computer programs from specifications,close,"An AI system that resolves real software-engineering tasks in an existing codebase: reading an issue, locating the relevant code, writing a patch that passes the project's own tests, and doing so without human intervention."
